gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
BFSP2	10.993816178079532	2.921640437664943	0.3643402987104167	4.3059339629111196e-17	4.2681467337042796e-16
BHLHA9	2.293177426425578	-2.0382401950965177	0.675350032536109	6.270841500936025e-5	1.5045393440874617e-4
BIRC5	1016.4552480050095	4.07330823083422	0.21056840894069886	8.9633757837143e-85	1.1271743827213522e-81
BLM	137.4023144236253	2.389006792678797	0.1886503076573981	4.629089879595221e-38	2.6784822821719217e-36
BMP10	11.428980877724099	-4.52673215478362	0.6530053064753569	4.91505324439414e-14	3.533256453849339e-13
BMP5	46.24515130023196	-2.3269180685651243	0.37218490416703504	1.7728241021603006e-11	9.678952543863894e-11
BMP7	24.974795852839176	3.643757540210553	0.545035916284032	7.927127844905847e-13	5.024509829921337e-12
BMPER	99.85864127951427	-4.405718121883945	0.300859586041691	3.05454782191636e-50	3.578753761789335e-48
BPIFA1	3.4116459894769333	2.9369898305803646	1.0004236898888712	4.520090748115858e-5	1.1071610411856827e-4
BPIFA2	9.143318939879043	4.80154426010175	0.6370540848890437	3.4365796021640503e-16	3.09275768299716e-15
BPIFB2	297.04311080107954	3.381917023156061	0.4676815005593083	1.9023775375638343e-14	1.4262538748436648e-13
BPIFB4	9.801916965839284	4.130700891268655	0.5026159939202842	5.437018626212313e-18	5.8404602702871785e-17
BPIFB6	2.2697382436341824	2.405394696305295	0.9722402594625345	2.250740244397997e-4	4.996553281167403e-4
BRDT	3.952102750509489	2.7605800985025724	0.7240009201518617	3.0855573996199475e-6	8.809273381115646e-6
BRINP3	12.272044883108212	5.024600071971705	0.6741377588512932	4.068219936058962e-16	3.6351886619554805e-15
BRSK2	45.05556962846827	3.333921808327793	0.35922016412800767	7.6693491313705685e-22	1.1819193845183254e-20
BSND	5.248527090186978	3.5105097949992103	0.5327392556886077	1.5836397282165473e-12	9.73987485925945e-12
BTNL8	237.4297150927945	3.520085705642424	0.40657647192618745	2.1142307875293055e-19	2.6065840094879276e-18
BUB1	320.55003721651457	3.452696144790281	0.1895339247752008	2.1567935260250487e-75	9.040799173646777e-73
BUB1B	250.951770139066	3.4670945168042904	0.2052353130747586	2.8320188519561625e-65	6.677546450556136e-63
C12orf56	23.276361993347003	4.1965324676786855	0.5076817860057271	3.32797884398469e-18	3.666802858299253e-17
C14orf180	32.90940546774327	-3.2613786877161806	0.457833533884255	4.164540623901325e-14	3.015575039871428e-13
C15orf48	297.6209309059851	2.1975746476537346	0.312283828603315	9.859850577130476e-14	6.903725368834899e-13
C16orf59	206.80629565386272	2.7696206914781714	0.1860214139099116	1.638281792582237e-51	2.088034422532347e-49
C17orf99	2.5110189643729073	2.301464671343126	0.4630369319621432	2.4150773180997176e-8	9.0226982474381e-8
C19orf45	11.289499709031773	2.0491518393349084	0.29806845541236643	3.2525178556061747e-13	2.157251909644841e-12
C19orf67	4.5402351368775475	2.5426750457279246	0.3631757061943137	1.0602183090270044e-13	7.396042146145112e-13
C19orf81	13.861416308729721	4.526497415781004	0.5667524429999614	1.8037617529576368e-17	1.8381608830923774e-16
C1orf106	277.2091278879787	2.240887541051353	0.32389489468661936	2.2180704789958497e-13	1.4985481176682922e-12
C1orf158	2.390352720773452	2.4593454802673804	0.6594529208034633	4.6766280853970945e-6	1.3041873976174659e-5
C1orf61	20.075679965767584	2.4262176451447646	0.3290901845156711	7.524724803605071e-15	5.898716055806587e-14
C1orf64	64.03608978359154	5.137744555718754	0.5610195903662489	1.8400965116913316e-22	3.0103851257618028e-21
C1QL1	361.0374554962719	3.863113020124986	0.34786128882977513	5.068234820126795e-30	1.6454752738735241e-28
C1QL4	15.380265220192106	3.8355109962559593	0.43189143117577955	2.5671625188699904e-20	3.444124224284824e-19
C1QTNF3	507.75386396582684	2.817309356309718	0.29077159426718363	1.3851375196212826e-23	2.471887325696902e-22
C20orf144	5.32512341636234	2.3229893117179174	0.28658194231209605	2.585652302775457e-17	2.6067963328302215e-16
C21orf58	166.8026225387992	2.270952443854443	0.15695337738537993	1.0617702625973685e-48	1.1315351674222691e-46
C21orf62	5.831743848112208	-2.707544126176207	0.26156121741389277	1.7157535640261076e-26	4.0104410753685834e-25
C5orf34	65.23685535171255	2.3645633625790174	0.15196511968352894	6.892426061197755e-56	1.0484825225191392e-53
C5orf46	27.267405589398987	3.7478654515009846	0.3470643803207909	1.601898742626328e-28	4.5032214578480515e-27
C5orf58	42.33101464921805	3.0389027724582185	0.3893900039975274	2.4285934180745584e-16	2.2303095250798633e-15
C6orf222	7.8545824448660895	2.570630776279419	0.502567742249498	1.0770448001809886e-8	4.183751249137971e-8
C6orf223	207.02288208395146	3.9725539873864344	0.4552026389734112	8.779284142151738e-20	1.1227365204976829e-18
C8orf4	2346.3846675749387	-2.2522643458218803	0.18959354172450504	8.496808244116165e-34	3.659253285588202e-32
C9	22933.708489193312	-2.41942789915138	0.38089574409302873	9.003387409739714e-12	5.090854217923268e-11
C9orf57	7.47976804926813	2.844235602472075	0.4827929576151139	1.383536212743254e-10	6.815785735433795e-10
CA12	1019.868057146893	2.691245059652074	0.3646620380690424	6.381201743395534e-15	5.0617581364873825e-14
CA4	60.78392999054683	3.125267253369344	0.36121398912453623	2.1554295363723047e-19	2.6521766043438217e-18
CABYR	303.1449810221959	4.238994535325858	0.33702134779823983	7.704529934119281e-38	4.351214016385988e-36
CACNA1E	21.105084650919064	3.644712406916741	0.42476883970158597	3.9908979984359857e-19	4.7918719888286446e-18
CACNA1I	36.06441792286728	2.7105593977420694	0.40473936495458035	8.321418415898537e-13	5.2655791874905765e-12
CACNA1S	4.406859242594113	2.2565115418171877	0.3678603734529257	3.813940770926899e-11	2.0028497984964952e-10
CACNB4	41.41552215151833	3.000146953313259	0.31343732686925	4.4657799664524363e-23	7.685224700067145e-22
CACNG1	4.996336780268632	3.5637309280799165	0.5785737276855238	2.39912359854684e-11	1.290409707424837e-10
CACNG4	171.65586130940662	3.4134877180664933	0.43434057078540683	1.6222429940980914e-16	1.513371394543635e-15
CALCA	79.4189588453086	2.006534939433429	0.41913125079883384	6.292369104314698e-8	2.2293944104937667e-7
CALN1	11.210875214984437	-2.3843546887625138	0.4789826157400816	2.267412664109076e-8	8.501332753545915e-8
CALY	13.903822663082403	3.309164777847787	0.3975572670381785	3.6853164823665086e-18	4.039286740667022e-17
CAMK2N2	102.18757083151613	2.318348302337891	0.2685674721209903	3.027785668988235e-19	3.6894781055636355e-18
CAMKV	2.7979595409769535	2.834106766141097	0.5914940778393606	4.999117971641534e-8	1.7937675917647757e-7
CAP2	1291.0586088131197	2.2585332880325826	0.16165583402208317	1.318331448636554e-45	1.2130578592990886e-43
CAPN11	26.99916937765998	2.1157473848374195	0.16866463370213516	2.771969297020253e-37	1.5068489005675225e-35
CAPN13	49.10064581472452	2.0978158151351436	0.5103115892319949	1.221335087627524e-6	3.6638110302032413e-6
CAPN9	18.0502859320185	2.231979906315946	0.2995245422063321	4.6803425995615205e-15	3.761623453580271e-14
CARD18	5.618602975137293	4.21374404779139	0.6299705657492715	4.380920489403875e-13	2.8673595833318977e-12
CASKIN1	12.525223798188135	3.4843605160881617	0.4042541408873687	2.9713879292562845e-19	3.62309570197552e-18
CBLN2	2.4275958946939626	-2.379557772136146	0.49318764239218177	4.788029541223316e-8	1.7217623847138332e-7
CBX2	218.3280417762162	2.6536295235425773	0.20518710757121683	1.2417181913097767e-39	7.851357288453993e-38
CCBE1	100.90201446352536	-3.442781453205442	0.3137372526581094	2.545513615520806e-29	7.794808982072883e-28
CCDC144NL	2.8948352370404034	2.702268246572871	0.7935376852417166	1.286931928644656e-5	3.386162222070602e-5
CCDC155	14.689709555475865	2.8600952389963648	0.4470195528739586	5.915716531323255e-12	3.416661387947047e-11
CCDC170	378.07902800387626	2.4824529884066227	0.269551711014219	1.4807399793122887e-21	2.2380767812313863e-20
CCDC185	4.557497859390112	3.4105538096639867	0.6090620810924526	6.749199843100163e-10	3.062548872754351e-9
CCDC28B	251.57427902509434	2.364112842047829	0.21004011980957987	1.0905596357060812e-30	3.6998608648064405e-29
CCDC64	533.4118952830787	2.220199337631572	0.20607501886237017	2.6193390699652066e-28	7.17105847267833e-27
CCDC78	33.309063964408985	2.136783874068331	0.24248654125510005	7.138007705446831e-20	9.178203091195882e-19
CCL23	24.47648463300747	-2.928067625874481	0.17815011601242398	4.663585655830413e-62	9.16346002353428e-60
CCL25	202.64801521166976	4.323353419419984	0.39760906259333145	3.4694131463919275e-29	1.0420945888597282e-27
CCL26	13.78116819085419	2.779751012922581	0.3782962978814256	7.98282502153832e-15	6.235197862578771e-14
CCNA2	549.9860830292087	3.4805566272931223	0.21645496220620325	1.9683576401793836e-59	3.5027481289343126e-57
CCNB1	892.829154213479	3.253996924593398	0.17599740640092515	1.3469010411430516e-77	6.866647118670644e-75
CCNB2	410.9403037842014	3.688608185527016	0.1938863567425156	5.957596640359211e-82	4.6824227261289913e-79
CCNE1	240.56694834362668	3.5234891393042087	0.2530359676347392	2.411403164166649e-45	2.166014185032167e-43
CCNE2	92.52440523068297	2.062705436880979	0.18972347462780922	1.0228034082645874e-28	2.9276389514559804e-27
CCNF	358.131104051893	2.1796476215354765	0.1473729379773356	1.0514723910119297e-50	1.2553116273201285e-48
CCNO	66.50021040500772	3.0052854854749325	0.33955729222648184	3.640183090909722e-20	4.795026092446235e-19
CCR3	15.646267270804488	3.1293614280010624	0.4801876297201723	2.69493126246703e-12	1.6127693021546824e-11
CD109	561.0185524463028	2.4161245301162255	0.23496003906984478	4.007709259174356e-26	9.031949791613607e-25
CD34	1859.9329492851648	2.100129145929507	0.12411851943565722	2.171670075139374e-65	5.185343370551141e-63
CD5L	1079.627546695503	-2.859774748798682	0.3412576515101797	2.1467628403979363e-18	2.4003786282410354e-17
CDC20	784.418941575109	4.247477881847962	0.2236017729014732	5.467549334906528e-82	4.484103613232254e-79
CDC20B	14.890685549218018	3.5581193090194243	0.4699032012074905	1.4605391164733348e-15	1.2370969624623491e-14
