UMAP_1	UMAP_2	Highlight	cell_id
8.640012731	-6.587558213	none	cell256
8.296236982	-7.534066144	none	cell257
7.329425802	-7.859008256	none	cell258
5.709222784	-7.415156308	none	cell259
10.85777568	-6.412073079	none	cell260
11.03001594	-6.670220318	none	cell261
8.125388136	-7.078785363	none	cell262
9.7096033	-6.52136797	none	cell263
8.24838542	-7.706355038	none	cell264
6.662304868	-8.846448365	none	cell265
7.073483457	-7.308763447	none	cell266
8.767272939	-7.536904278	none	cell267
10.56429957	-6.347726288	none	cell268
3.886685838	-8.144851628	none	cell269
4.00756072	-7.407632294	none	cell270
8.351370802	-7.211410943	none	cell271
3.69150876	-7.642538968	none	cell272
-5.628524313	0.659389672	Epithelials	cell273
8.829886427	-6.758655968	none	cell274
8.885144224	-6.546643677	none	cell275
3.976389398	-8.060646477	none	cell276
4.246452799	-8.083136025	none	cell277
6.359342565	-5.948505822	none	cell278
4.916235914	-7.50795311	none	cell279
3.744850626	-7.706388417	none	cell280
7.462017526	-7.602367344	none	cell281
11.22961616	-6.110158387	none	cell282
3.892763128	-7.088713112	none	cell283
3.820506086	-7.478217545	none	cell284
4.112268438	-6.781587067	none	cell285
9.740389814	-6.526232186	none	cell286
4.501139631	-6.983128491	none	cell287
11.47496795	-6.678630295	none	cell288
-5.615528593	0.685884652	Epithelials	cell289
3.552124252	-7.438825551	none	cell290
4.574959268	-7.134128037	none	cell291
11.12769507	-6.249742451	none	cell292
5.699128141	-7.542844716	none	cell293
7.074540605	-7.93489975	none	cell294
4.913530817	-7.00119299	none	cell295
6.750029077	-7.253164235	none	cell296
6.230271806	-7.313314381	none	cell297
6.295170297	-7.319508973	none	cell298
4.709209909	-6.904608193	none	cell299
9.254325857	-7.04995245	none	cell300
4.379001131	-6.969729844	none	cell301
4.628329744	-8.075981083	none	cell302
5.85492753	-8.844868126	none	cell303
6.593165388	-5.173070851	none	cell304
4.301791181	-7.919715825	none	cell305
6.424442281	-6.459805432	none	cell306
3.504417171	-7.205268803	none	cell307
4.097262373	-8.260748807	none	cell308
4.817289819	-7.972087327	none	cell309
7.233980646	-7.921163502	none	cell310
9.683503141	-7.022911969	none	cell311
8.854347219	-7.365560952	none	cell312
7.139645567	-7.299617711	none	cell313
5.352957239	-7.809067669	none	cell314
7.975657453	-7.820829812	none	cell315
5.937131395	-8.11753315	none	cell316
4.523697366	-11.24761051	none	cell317
11.31002139	-6.187059346	none	cell318
5.499771585	-9.305356446	none	cell319
7.294480791	-6.103547993	none	cell320
-5.841253767	0.683084247	Epithelials	cell321
6.02392291	-8.602305832	none	cell322
8.853734007	-7.367527428	none	cell323
3.68995284	-7.636010113	none	cell324
10.96345138	-7.100917759	none	cell325
6.076005926	-7.322620812	none	cell326
6.372003545	-4.363739911	none	cell327
4.583672037	-7.419642869	none	cell328
8.287734022	-7.719540539	none	cell329
6.061478605	-7.770027581	none	cell330
10.7106018	-7.050288144	none	cell331
