gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ANKFN1	988.0473382114797	5.4353687832128195	0.6366072699042079	5.089513238369846e-19	2.5004325326326058e-18
ANKRD26P1	2297.5706640707367	5.787714950373051	0.5828894773970206	1.6221989617298146e-24	1.0665769105895474e-23
ANKRD30A	294.55612711549065	10.02667203061127	0.8528635885865382	4.964649004658687e-35	5.355033689776446e-34
ANKRD30BP2	1457.555909980831	6.589669503221491	0.5699765292618086	2.9412194400332115e-32	2.783918484242845e-31
ANKRD33	992.5747228613156	2.302199161737496	0.3727994645725292	4.160949259030043e-11	1.295059586620868e-10
ANKRD55	10033.942597584972	-2.3009634725099324	0.12400879854438399	7.577733256864933e-78	3.8253143387283495e-76
ANLN	51971.709665228824	3.411744865112998	0.1253141593506332	2.679890066081463e-165	1.0609073568618986e-162
ANO4	1476.2337468605892	2.2309656019441064	0.272230241547404	2.095784712835137e-17	9.446940080927862e-17
APCDD1L	288.4371858224833	2.6286426850840634	0.5986920229676505	3.160389987093133e-7	7.51783681833824e-7
APLN	17452.860984659474	2.625612133290401	0.13937885080796353	2.304815045916146e-80	1.274709595860241e-78
APOBEC1	14.1982047517868	26.573949056570513	2.0235031926605327	9.648057915234358e-40	1.2920381415861322e-38
APOF	934505.8447023323	-2.542878803113225	0.16006281425229696	5.661086878630202e-58	1.5153312623522004e-56
AQP10	717.1336596960376	3.0408511994790985	0.4636374972959335	1.1580167521269817e-12	3.9621907523495594e-12
AQP2	14.905859054584871	2.805213148593244	1.6465143568613185	6.980663868343647e-4	0.0012389388091015763
AQP6	4681.881330047393	2.129666257702023	0.23443081818863945	9.431279323726625e-21	5.091311433968691e-20
AQP8	4580.338527615411	3.2692218406583127	0.27812506539731907	8.292200408496439e-34	8.439941462233747e-33
ARHGAP11A	36097.83509182644	2.363597831815172	0.09791494237594234	9.433235944459273e-130	1.702887752693788e-127
ARHGAP40	3752.256708063218	2.2334781013157703	0.3631062245304008	4.972256476074875e-11	1.540348261705513e-10
ASB17	6.999265137790293	7.992717514378052	1.4512167782204748	2.6056255624167444e-10	7.690770544922673e-10
ASB9P1	2321.1623859589236	2.6995791451025926	0.2099065658516337	3.831166500874291e-39	4.985598159874763e-38
ASF1B	22897.797674719397	2.3838417686973212	0.10366181759135919	4.816767161940373e-118	6.627460427389299e-116
ASPA	26003.577334274112	-2.0148461288756745	0.11495683660968743	9.492713804074175e-70	3.777832222027051e-68
ASPG	262844.48798136215	-2.282364237942438	0.19026684327452542	3.5896175915818287e-34	3.690192298589702e-33
ASPM	73705.83262784511	3.335185559836561	0.11094527962218027	1.4997958393154042e-200	1.128096437138403e-197
ASS1	6923183.08849087	-2.1353485607272344	0.1075125002130861	9.730276391507084e-89	6.970275770614519e-87
ASZ1	120.57874433302628	6.464067567451351	1.042177862815907	1.4769536170969397e-11	4.720603168525842e-11
ATP6V0D2	4895.348044001785	3.7712181768797772	0.2770307121338805	2.0445969214492676e-44	3.3167742295113387e-43
ATXN3L	6.831023371676619	24.072834652075127	2.2242661943336515	1.3879474056166949e-27	1.064911023724608e-26
AURKA	67889.84702299148	2.6622886506813797	0.09762341433610487	5.494801973869345e-165	2.1015289244129113e-162
AURKB	21222.161106793974	2.7055525838323264	0.11688699434521559	8.277596721714991e-120	1.1821770254778403e-117
AXIN2	78815.20577341139	2.0133940862011652	0.1524764354415499	8.308561094440353e-41	1.1630439273948298e-39
B3GALT1	357.54824360871976	2.904518382192562	0.5744087956726801	1.0102927525024031e-8	2.678878491212306e-8
B3GAT1	43253.94976965842	-2.2550019692811163	0.17675841359198569	2.8027529830996443e-38	3.5057716775855582e-37
B4GALNT1	13312.386305968483	3.2331963125482837	0.14388763109490946	1.02651466900132e-113	1.3086612150290839e-111
B4GALNT2	2446.942003567875	5.530381223980344	0.6667916925929198	4.201201013229064e-18	1.963954855262354e-17
BAGE	2242.427737409014	7.209213907592478	0.6576092741684297	1.4490479636864592e-29	1.2141762829775324e-28
BAGE2	2894.5487475521063	7.2036227635581005	0.6277702450982166	4.504883027792833e-32	4.228481094931168e-31
